,name,company,year,Price,kms_driven,fuel_type
45,Datsun Redi GO,Datsun,2017,12.367345048436391,16000,Petrol
46,Maruti Suzuki SX4,Maruti,2010,12.429216196844383,36000,Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,14.204169225721929,47000,Diesel
48,Mahindra Bolero DI,Mahindra,2017,12.100717685412471,23452,Diesel
49,Maruti Suzuki Swift,Maruti,2014,12.861001210669146,35522,Diesel
50,Mahindra Scorpio S10,Mahindra,2015,12.429220196836383,48508,Diesel
51,Maruti Suzuki Swift,Maruti,2017,12.100717685412471,15487,Petrol
52,Maruti Suzuki Wagon,Maruti,2013,11.561725152903833,39000,Petrol
53,Maruti Suzuki Wagon,Maruti,2013,11.561725152903833,39000,Petrol
54,Mahindra Scorpio S10,Mahindra,2015,12.886643575525625,35000,Diesel
55,Maruti Suzuki Swift,Maruti,2017,12.301387370778713,30874,Petrol
56,Honda City ZX,Honda,2017,12.04355959836804,15000,Diesel
57,Maruti Suzuki Wagon,Maruti,2013,11.350418300109132,29685,Petrol
58,Ford Figo,Ford,2012,12.07254696717504,41000,Diesel
59,Hyundai Eon,Hyundai,2013,12.154784614286667,25000,Petrol
60,Tata Indigo eCS,Tata,2017,12.206077645517674,130000,Diesel
61,Ford EcoSport Ambiente,Ford,2016,13.629182184591333,24530,Diesel
62,Tata Indigo eCS,Tata,2017,12.206077645517674,130000,Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,13.25339339419516,19000,Diesel
64,Volkswagen Polo Highline,Volkswagen,2014,12.660331092405906,60000,Petrol
65,Skoda Fabia Classic,Skoda,2010,12.111767460549332,60000,Petrol
66,Maruti Suzuki Stingray,Maruti,2015,12.660331092405906,30000,Petrol
67,Chevrolet Spark LS,Chevrolet,2010,11.608244735642321,41000,Petrol
68,Renault Duster 110PS,Renault,2012,13.124363376072994,35000,Diesel
69,Honda City,Honda,2015,13.01477816672439,54000,Petrol
70,Mini Cooper S,Mini,2013,14.452675573808426,13000,Petrol
71,Datsun Redi GO,Datsun,2017,12.367345048436391,16000,Petrol
72,Skoda Fabia 1.2L,Skoda,2011,11.979805470779858,38200,Diesel
73,Honda Amaze,Honda,2015,12.751299696013497,22000,Petrol
74,Honda Amaze,Honda,2015,12.751299696013497,22000,Petrol
75,Renault Duster,Renault,2014,13.017002861746503,50000,Diesel
76,Mini Cooper S,Mini,2013,14.452675573808426,13500,Petrol
77,Mahindra Scorpio S4,Mahindra,2015,13.670485941982712,30000,Diesel
78,Mahindra Scorpio VLX,Mahindra,2014,13.457407451830088,50000,Diesel
79,Mahindra Quanto C8,Mahindra,2013,12.834683971615659,20000,Diesel
80,Ford EcoSport,Ford,2017,13.102160670086809,39000,Petrol
81,Honda Brio,Honda,2012,12.323855681186558,30000,Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,13.997832948091215,3600,Diesel
83,Hyundai i20 Magna,Hyundai,2009,12.180759965737863,32000,Petrol
84,Toyota Corolla Altis,Toyota,2010,12.768544351446794,38000,Diesel
85,Hyundai Verna Transform,Hyundai,2008,11.982935344196433,45000,Petrol
86,Toyota Corolla Altis,Toyota,2009,12.388398368982115,35000,Petrol
87,Honda City 1.5,Honda,2005,11.407576060361786,50000,Petrol
88,Hyundai Elite i20,Hyundai,2014,12.936036208848487,32000,Petrol
89,Skoda Fabia 1.2L,Skoda,2011,11.951186847493476,45863,Diesel
90,BMW 3 Series,BMW,2011,13.304686600863562,60500,Petrol
91,Maruti Suzuki A,Maruti,2011,12.15214958053555,12500,Petrol
92,Toyota Etios GD,Toyota,2013,12.765691290604371,60000,Diesel
93,Ford Figo Diesel,Ford,2012,12.25486757159303,35000,Diesel
94,Maruti Suzuki Swift,Maruti,2014,12.873904582205107,35000,Petrol
95,Chevrolet Beat LT,Chevrolet,2012,11.813037464800539,45000,Diesel
96,BMW 7 Series,BMW,2009,14.285514812209815,35000,Petrol
97,Mahindra XUV500 W8,Mahindra,2013,13.460264592549233,38000,Diesel
98,Hyundai i10 Magna,Hyundai,2014,12.487488878546145,18000,Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,13.171155446333852,35000,Diesel
100,Maruti Suzuki Swift,Maruti,2013,12.826651821423713,13349,Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,13.361381852676738,29000,Petrol
102,Ford EcoSport Titanium,Ford,2014,13.217675375388819,44000,Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,13.26212705890841,29000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,13.091906231773164,42000,Diesel
105,Maruti Suzuki Alto,Maruti,2012,11.951186847493476,14000,Petrol
106,Hyundai Grand i10,Hyundai,2014,12.75130259456002,49000,Diesel
107,Honda Amaze 1.2,Honda,2014,12.691583538230217,42000,Petrol
108,Hyundai i20 Asta,Hyundai,2012,12.70533466782146,36200,Diesel
109,Ford Figo Diesel,Ford,2014,12.180759965737863,50000,Diesel
110,Maruti Suzuki Eeco,Maruti,2015,12.433654333728994,55000,Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,13.253391639810733,45000,Petrol
112,Maruti Suzuki Esteem,Maruti,2007,11.156250521031495,51000,Petrol
113,Maruti Suzuki Ritz,Maruti,2014,12.611537753638338,19000,Petrol
114,Maruti Suzuki Dzire,Maruti,2009,12.301387370778713,46000,Petrol
115,Maruti Suzuki Ritz,Maruti,2013,12.89921982609012,33000,Diesel
116,Maruti Suzuki Swift,Maruti,2013,12.826651821423713,13349,Petrol
117,Maruti Suzuki Dzire,Maruti,2015,13.017005083966255,104000,Diesel
118,Toyota Etios Liva,Toyota,2014,12.506180941677357,55000,Petrol
119,Hyundai i20 Sportz,Hyundai,2011,12.765691290604371,33333,Diesel
120,Chevrolet Spark,Chevrolet,2012,11.972885071473847,33600,Petrol
121,Maruti Suzuki Alto,Maruti,2017,12.765691290604371,5600,Petrol
122,Nissan Micra XV,Nissan,2011,12.095146671399466,41000,Petrol
123,Maruti Suzuki Swift,Maruti,2007,11.736077016252437,70000,Petrol
124,Maruti Suzuki Alto,Maruti,2018,12.206077645517674,7500,Petrol
125,Honda Amaze 1.5,Honda,2013,12.608202196848836,45000,Diesel
126,Maruti Suzuki Alto,Maruti,2015,12.301387370778713,38000,Petrol
127,Chevrolet Beat,Chevrolet,2015,11.918397239722838,30000,Petrol
128,Honda City 1.5,Honda,2010,12.560247968016562,35000,Petrol
129,Ford EcoSport Trend,Ford,2016,13.629182184591333,24330,Diesel
130,Hyundai i20 Asta,Hyundai,2009,12.25486757159303,65480,Petrol
131,Maruti Suzuki Swift,Maruti,2013,12.73670383776449,41000,Petrol
132,Tata Indica V2,Tata,2006,11.407576060361786,20000,Petrol
133,Hindustan Motors Ambassador,Hindustan,2000,11.156264806643742,200000,Diesel
134,Toyota Corolla Altis,Toyota,2010,12.577636201962656,70000,Petrol
135,Toyota Corolla Altis,Toyota,2012,12.765688433465597,59000,Petrol
136,Toyota Innova 2.5,Toyota,2012,13.652991628466498,99000,Diesel
137,Volkswagen Jetta Highline,Volkswagen,2014,13.527828485512494,46000,Diesel
138,Volkswagen Polo Comfortline,Volkswagen,2015,12.89921982609012,2800,Petrol
139,Volkswagen Polo,Volkswagen,2014,12.524526376648708,32000,Petrol
140,Mahindra Scorpio,Mahindra,2015,13.800396920154226,22000,Diesel
141,Renault Duster,Renault,2014,13.017002861746503,50000,Diesel
142,Honda Amaze,Honda,2015,12.751299696013497,22000,Petrol
143,Nissan Sunny,Nissan,2012,12.323855681186558,45000,Petrol
144,Hyundai Elite i20,Hyundai,2018,13.304684934198283,21000,Petrol
145,Renault Kwid,Renault,2016,12.409013489526863,11000,Petrol
146,Renault Duster,Renault,2013,12.89921982609012,41000,Diesel
147,Ford EcoSport,Ford,2017,13.102160670086809,39000,Petrol
148,Renault Duster,Renault,2014,13.071070083016778,50000,Diesel
149,Mahindra Scorpio VLX,Mahindra,2011,13.122363377404328,66000,Diesel
150,Maruti Suzuki Alto,Maruti,2018,12.644330802262578,3000,Petrol
151,Chevrolet Spark LT,Chevrolet,2010,11.350418300109132,45000,Petrol
152,Datsun Redi GO,Datsun,2016,12.409017571151187,7000,Petrol
153,Maruti Suzuki Swift,Maruti,2010,12.15214958053555,38500,Diesel
154,Fiat Punto Emotion,Fiat,2012,12.040614105490253,37200,Diesel
155,Maruti Suzuki Swift,Maruti,2010,11.979805470779858,43200,Diesel
156,Toyota Etios GD,Toyota,2013,12.524530013005734,24800,Petrol
157,Hyundai i20 Sportz,Hyundai,2014,12.821260987319457,60000,Diesel
158,Hyundai i10 Sportz,Hyundai,2010,12.031725210748633,45872,Petrol
159,Chevrolet Beat LT,Chevrolet,2011,11.918397239722838,40000,Diesel
160,Chevrolet Beat LS,Chevrolet,2011,11.884495917930655,45000,Diesel
161,Chevrolet Beat LT,Chevrolet,2012,11.49782197939291,38000,Diesel
162,Mahindra Scorpio VLX,Mahindra,2014,13.457407451830088,50000,Diesel
163,Tata Indigo CS,Tata,2011,11.350418300109132,11400,Diesel
164,Toyota Corolla Altis,Toyota,2015,13.26212705890841,42000,Petrol
165,Honda City 1.5,Honda,2014,13.215855541983634,39000,Petrol
166,Maruti Suzuki Swift,Maruti,2011,12.250094315624496,47000,Diesel
167,Hyundai Eon Era,Hyundai,2013,12.128116509451258,27000,Petrol
168,Mahindra Scorpio S10,Mahindra,2015,13.710151153416941,97200,Diesel
169,Mahindra XUV500,Mahindra,2014,13.458835614025542,52000,Diesel
170,Honda Brio,Honda,2012,12.323855681186558,30000,Petrol
171,Ford Fiesta,Ford,2011,12.524526376648708,55000,Diesel
172,Honda Amaze,Honda,2013,12.560244459250788,46000,Diesel
173,Honda City,Honda,2015,13.304684934198283,30000,Diesel
174,Maruti Suzuki Wagon,Maruti,2012,12.206072645530174,44000,Petrol
175,Honda City,Honda,2014,13.208541073645382,45000,Diesel
176,Hyundai i20,Hyundai,2009,12.201065128819632,31000,Petrol
177,Tata Indigo eCS,Tata,2016,12.676079399771027,175430,Diesel
178,Hyundai Fluidic Verna,Hyundai,2015,13.199326270390594,38000,Diesel
179,Mahindra Quanto C8,Mahindra,2013,12.73670383776449,37000,Diesel
180,Fiat Petra ELX,Fiat,2008,11.225256725762893,65000,Petrol
181,Skoda Fabia 1.2L,Skoda,2011,11.979805470779858,38200,Diesel
182,Mini Cooper S,Mini,2013,14.452675573808426,13000,Petrol
183,Hyundai Santro Xing,Hyundai,2005,10.799595985047786,7500,Petrol
184,Maruti Suzuki Ciaz,Maruti,2016,13.45883704259595,3350,Petrol
185,Maruti Suzuki Zen,Maruti,2000,10.915106645867503,60000,Petrol
186,Honda City,Honda,2015,13.01477816672439,54000,Petrol
187,Hyundai Creta 1.6,Hyundai,2017,13.704580114574805,32000,Petrol
188,Mahindra Scorpio SLX,Mahindra,2007,12.779875885354993,75000,Diesel
189,Mahindra Scorpio SLE,Mahindra,2012,13.244582780038517,62000,Diesel
190,Toyota Innova 2.5,Toyota,2006,12.807655372286902,73000,Diesel
191,Maruti Suzuki Alto,Maruti,2011,11.884495917930655,41000,Petrol
192,Maruti Suzuki Wagon,Maruti,2011,12.25486757159303,35000,Petrol
193,Tata Nano Cx,Tata,2013,10.596659732783579,2200,Petrol
194,Maruti Suzuki Alto,Maruti,2013,11.736077016252437,39000,Petrol
195,Maruti Suzuki Wagon,Maruti,2009,11.813037464800539,45000,Petrol
196,Maruti Suzuki Swift,Maruti,2006,11.813037464800539,45000,Petrol
197,Tata Sumo Victa,Tata,2012,12.560247968016562,65000,Diesel
198,Maruti Suzuki Wagon,Maruti,2010,11.884495917930655,54870,Petrol
199,Maruti Suzuki Alto,Maruti,2010,11.813037464800539,34580,Petrol
200,Volkswagen Passat Diesel,Volkswagen,2009,13.017005083966255,97000,Diesel
201,Renault Scala RxL,Renault,2015,12.834683971615659,25000,Diesel
202,Mahindra Quanto C8,Mahindra,2013,12.834683971615659,20000,Diesel
203,Hyundai Grand i10,Hyundai,2014,12.807655372286902,20000,Petrol
204,Hyundai i20 Active,Hyundai,2015,13.122365377402328,18000,Petrol
205,Mahindra Xylo E4,Mahindra,2012,12.899222326086994,35000,Diesel
206,Mahindra Jeep MM,Mahindra,2019,12.873904582205107,60,Diesel
207,Renault Duster 110PS,Renault,2012,13.124363376072994,35000,Diesel
208,Mahindra Bolero SLE,Mahindra,2013,12.706850963741102,80200,Diesel
209,Force Motors Force,Force,2015,13.270785106659046,3200,Diesel
210,Maruti Suzuki SX4,Maruti,2012,12.487488878546145,46000,Diesel
211,Mahindra Jeep CL550,Mahindra,2019,12.84529412258351,0,Diesel
212,Maruti Suzuki Alto,Maruti,2015,12.296831574998258,5000,Petrol
213,Mahindra Jeep CL550,Mahindra,2018,12.861001210669146,588,Diesel
214,Toyota Etios,Toyota,2011,12.524530013005734,36000,Diesel
215,Volkswagen Polo,Volkswagen,2015,12.706850963741102,38000,Diesel
216,Honda City ZX,Honda,2008,11.608244735642321,45000,Petrol
217,Maruti Suzuki Wagon,Maruti,2006,11.289794413577894,71200,Petrol
218,Honda City VX,Honda,2016,13.159661088928443,52000,Diesel
219,Mahindra Thar CRDe,Mahindra,2016,13.500801182986649,29000,Diesel
220,Mitsubishi Pajero Sport,Mitsubishi,2015,14.204169225721929,47000,Diesel
221,Audi A4 1.8,Audi,2009,13.457407451830088,47000,Petrol
222,Mercedes Benz GLA,Mercedes,2015,14.508658238524095,20000,Diesel
223,Land Rover Freelander,Land,2015,14.557448378884015,30000,Diesel
224,Renault Kwid RXT,Renault,2017,12.73670383776449,5000,Petrol
225,Tata Aria Pleasure,Tata,2014,12.873904582205107,35000,Diesel
226,Mercedes Benz B,Mercedes,2014,14.151983508870947,31000,Petrol
227,Datsun GO T,Datsun,2016,12.409017571151187,7000,Petrol
228,Tata Indigo eCS,Tata,2016,12.676079399771027,175430,Diesel
229,Tata Indigo eCS,Tata,2016,12.676079399771027,175400,Diesel
230,Honda Jazz VX,Honda,2016,13.017005083966255,41000,Petrol
231,Honda Amaze 1.2,Honda,2014,12.647551406590285,33000,Petrol
232,Honda Amaze,Honda,2013,12.560244459250788,46000,Diesel
233,Honda City,Honda,2012,12.89921982609012,45000,Petrol
234,Honda City,Honda,2015,13.304684934198283,39000,Diesel
235,Honda Amaze,Honda,2015,12.751299696013497,22000,Petrol
236,Audi A4 1.8,Audi,2009,13.457407451830088,47000,Petrol
237,Force Motors Force,Force,2015,13.270785106659046,3200,Diesel
238,Mahindra Scorpio S4,Mahindra,2015,13.658857917508856,30000,Diesel
239,Hyundai i20 Active,Hyundai,2015,13.190023895035274,37000,Diesel
240,Mini Cooper S,Mini,2013,14.452675573808426,13000,Petrol
241,Maruti Suzuki Ciaz,Maruti,2017,13.457407451830088,14000,Petrol
242,Chevrolet Tavera Neo,Chevrolet,2013,12.834683971615659,55000,Diesel
243,Honda Amaze,Honda,2013,12.560244459250788,46000,Diesel
244,Hyundai Eon Sportz,Hyundai,2012,12.08954444723597,30000,Petrol
245,Tata Sumo Gold,Tata,2013,12.611541086966115,50000,Diesel
246,Maruti Suzuki Wagon,Maruti,2003,11.407576060361786,45000,Petrol
247,Maruti Suzuki Esteem,Maruti,2006,11.461642696843066,45000,Petrol
248,Maruti Suzuki Eeco,Maruti,2015,12.449022745701502,9300,Petrol
249,Chevrolet Enjoy 1.4,Chevrolet,2013,12.409017571151187,55000,Diesel
250,Hyundai i20 Asta,Hyundai,2012,12.70533466782146,36200,Diesel
251,Ford Figo Diesel,Ford,2014,12.180759965737863,50000,Diesel
252,Maruti Suzuki Eeco,Maruti,2015,12.433654333728994,55000,Petrol
253,Maruti Suzuki Ertiga,Maruti,2014,13.253391639810733,45000,Petrol
254,Maruti Suzuki Esteem,Maruti,2007,11.156250521031495,51000,Petrol
255,Maruti Suzuki Ritz,Maruti,2014,12.611537753638338,19000,Petrol
256,Maruti Suzuki Dzire,Maruti,2009,12.301387370778713,46000,Petrol
257,Maruti Suzuki Ritz,Maruti,2013,12.89921982609012,33000,Diesel
258,Maruti Suzuki SX4,Maruti,2010,12.429216196844383,36000,Petrol
259,Maruti Suzuki Wagon,Maruti,2015,12.577636201962656,22000,Petrol
260,Mini Cooper S,Mini,2013,14.452675573808426,13500,Petrol
261,Nissan Terrano XL,Nissan,2015,13.122363377404328,60000,Diesel
262,Renault Duster 85,Renault,2013,13.102160670086809,27000,Diesel
263,Renault Duster 85,Renault,2014,13.102160670086809,59000,Diesel
264,Renault Duster 85,Renault,2015,13.217673557208654,19000,Diesel
265,Maruti Suzuki Dzire,Maruti,2013,12.847929163278053,30000,Petrol
266,Renault Kwid RXT,Renault,2018,12.691583538230217,15000,Petrol
267,Maruti Suzuki Maruti,Maruti,2003,10.950824090522445,56758,Petrol
268,Renault Kwid 1.0,Renault,2018,12.765688433465597,10000,Petrol
269,Renault Lodgy 85,Renault,2018,13.444446876573442,20000,Diesel
270,Renault Scala RxL,Renault,2014,12.765688433465597,49000,Diesel
271,Hyundai Grand i10,Hyundai,2014,12.923914877701906,41000,Petrol
272,Maruti Suzuki Swift,Maruti,2011,12.323860125621126,45000,Petrol
273,Chevrolet Beat LS,Chevrolet,2010,11.695255355062795,43000,Petrol
274,Tata Indigo eCS,Tata,2016,12.676079399771027,175430,Diesel
275,Hyundai Santro Xing,Hyundai,2000,10.985309671896763,56450,Petrol
276,Hyundai Fluidic Verna,Hyundai,2015,13.199326270390594,38000,Diesel
277,Chevrolet Beat LS,Chevrolet,2010,11.289794413577894,56000,Petrol
278,Mahindra Quanto C8,Mahindra,2013,12.73670383776449,37000,Diesel
279,Fiat Petra ELX,Fiat,2008,11.225256725762893,65000,Petrol
280,Chevrolet Beat LS,Chevrolet,2015,12.301387370778713,32700,Petrol
281,Skoda Fabia 1.2L,Skoda,2011,11.979805470779858,38200,Diesel
282,Ford EcoSport Titanium,Ford,2016,13.303018546545275,30000,Diesel
283,Hyundai Accent GLX,Hyundai,2006,11.289794413577894,56000,Petrol
284,Mahindra TUV300 T4,Mahindra,2016,13.42246945133505,9000,Diesel
285,Mini Cooper S,Mini,2013,14.452675573808426,13000,Petrol
286,Mini Cooper S,Mini,2013,14.452675573808426,13000,Petrol
287,Tata Indica V2,Tata,2008,11.918397239722838,11000,Petrol
288,Mini Cooper S,Mini,2013,14.452675573808426,13000,Petrol
289,Tata Indigo CS,Tata,2009,11.19135563385109,46000,Diesel
290,Maruti Suzuki Swift,Maruti,2019,13.321215875492413,73,Petrol
291,Mahindra Scorpio VLX,Mahindra,2004,12.345838935721968,160000,Diesel
292,Honda Accord,Honda,2009,12.07254696717504,58559,Petrol
293,Mahindra Scorpio S4,Mahindra,2015,13.658857917508856,30000,Diesel
294,Chevrolet Tavera Neo,Chevrolet,2013,12.834683971615659,55000,Diesel
295,Ford EcoSport Titanium,Ford,2014,13.161586013632684,57000,Diesel
296,Maruti Suzuki Ertiga,Maruti,2015,13.17115354157376,50000,Diesel
297,Honda Amaze,Honda,2014,12.611537753638338,37000,Petrol
298,Maruti Suzuki Dzire,Maruti,2012,12.611537753638338,40000,Petrol
299,Honda City,Honda,2011,12.560244459250788,55000,Petrol
300,Mahindra Scorpio 2.6,Mahindra,2007,12.301387370778713,170000,Diesel
301,Maruti Suzuki Dzire,Maruti,2014,12.959844447906553,55000,Diesel
302,Honda City,Honda,2015,13.37700559577791,39000,Petrol
303,Honda Mobilio,Honda,2014,12.89921982609012,44000,Petrol
304,Toyota Corolla Altis,Toyota,2009,12.206072645530174,65000,Petrol
305,Honda City,Honda,2014,13.279367126213993,39000,Petrol
306,Skoda Laura,Skoda,2012,12.765688433465597,44000,Diesel
307,Renault Duster,Renault,2015,13.017002861746503,49000,Diesel
308,Maruti Suzuki Ertiga,Maruti,2018,13.592367006650065,9000,Diesel
309,Maruti Suzuki Dzire,Maruti,2015,13.005829561148378,45000,Diesel
310,Mahindra XUV500,Mahindra,2014,13.38472764187182,47000,Diesel
311,Hyundai Verna Fluidic,Hyundai,2012,13.005829561148378,40000,Diesel
312,Maruti Suzuki Vitara,Maruti,2016,13.444446876573442,29000,Diesel
313,Maruti Suzuki Wagon,Maruti,2016,12.751299696013497,15000,Petrol
314,Mahindra Scorpio,Mahindra,2015,13.758940206475879,45000,Diesel
315,Honda Amaze,Honda,2014,12.524526376648708,35000,Petrol
316,Mahindra XUV500,Mahindra,2013,13.444446876573442,80000,Diesel
317,Mahindra Scorpio,Mahindra,2013,13.262125319779487,68000,Diesel
318,Skoda Laura,Skoda,2013,12.834681304952548,50000,Diesel
319,Volkswagen Polo,Volkswagen,2010,12.206072645530174,60000,Diesel
320,Hyundai Elite i20,Hyundai,2016,13.217673557208654,9000,Petrol
321,Tata Manza Aura,Tata,2012,11.775297421715827,72000,Diesel
322,Chevrolet Sail UVA,Chevrolet,2013,12.25486757159303,60000,Petrol
323,Renault Duster 110,Renault,2012,13.124363376072994,38000,Diesel
324,Hyundai Verna Fluidic,Hyundai,2013,12.901719200051183,45000,Diesel
325,Audi A4 2.0,Audi,2012,14.115615891155079,40000,Diesel
326,Hyundai Elantra SX,Hyundai,2013,13.304686600863562,20000,Petrol
327,Mahindra Scorpio VLX,Mahindra,2013,13.321215875492413,35000,Diesel
328,Mahindra KUV100 K8,Mahindra,2016,12.899222326086994,20000,Diesel
329,Renault Scala RxL,Renault,2015,12.834683971615659,25000,Diesel
330,Mahindra Quanto C8,Mahindra,2013,12.834683971615659,20000,Diesel
331,Hyundai Grand i10,Hyundai,2014,12.807655372286902,20000,Petrol
332,Hyundai i20 Active,Hyundai,2015,13.122365377402328,18000,Petrol
333,Mahindra Xylo E4,Mahindra,2012,12.899222326086994,35000,Diesel
334,Hyundai Grand i10,Hyundai,2017,13.17115354157376,6821,Petrol
335,Hyundai i20,Hyundai,2014,13.017002861746503,23000,Petrol
336,Hyundai Eon,Hyundai,2014,12.072541252905651,14000,Petrol
337,Hyundai i10,Hyundai,2012,12.409013489526863,38000,Petrol
338,Hyundai i20 Active,Hyundai,2015,13.262125319779487,35000,Diesel
339,Datsun Redi GO,Datsun,2017,12.409013489526863,22000,Petrol
340,Toyota Etios Liva,Toyota,2011,12.388394202324129,41000,Petrol
341,Hyundai Accent,Hyundai,2010,11.512925464970229,45000,Petrol
342,Hyundai Verna,Hyundai,2014,13.102160670086809,44000,Diesel
343,Maruti Suzuki Swift,Maruti,2013,12.691580461311874,45000,Diesel
344,Toyota Fortuner,Toyota,2011,13.8878312195439,52000,Diesel
345,Hyundai i10 Sportz,Hyundai,2012,12.345838935721968,34000,Petrol
346,Mahindra Bolero Power,Mahindra,2018,13.457407451830088,1800,Diesel
347,Mahindra XUV500,Mahindra,2015,13.815511557963774,15000,Diesel
348,Honda City 1.5,Honda,2010,12.388398368982115,400000,Petrol
349,Chevrolet Spark LT,Chevrolet,2009,11.608244735642321,44000,Petrol
350,Mahindra Jeep MM,Mahindra,2019,12.873904582205107,60,Diesel
351,Renault Duster 110PS,Renault,2012,13.124363376072994,35000,Diesel
352,Mahindra XUV500,Mahindra,2016,13.937729075643883,72000,Diesel
353,Tata Indigo eCS,Tata,2014,12.429220196836383,40000,Diesel
354,Mahindra Bolero SLE,Mahindra,2013,12.706850963741102,80200,Diesel
355,Force Motors Force,Force,2015,13.270785106659046,3200,Diesel
356,Skoda Rapid Elegance,Skoda,2013,12.73670383776449,48000,Diesel
357,Tata Vista Quadrajet,Tata,2011,11.695255355062795,90000,Diesel
358,Maruti Suzuki Alto,Maruti,2015,12.487488878546145,12000,Petrol
359,Maruti Suzuki SX4,Maruti,2012,12.487488878546145,46000,Diesel
360,Maruti Suzuki Zen,Maruti,2003,11.350418300109132,69900,Petrol
361,Mahindra Jeep CL550,Mahindra,2019,12.84529412258351,0,Diesel
362,Hyundai i10 Magna,Hyundai,2011,12.07254696717504,45000,Petrol
363,Maruti Suzuki Alto,Maruti,2015,12.296831574998258,5000,Petrol
364,Maruti Suzuki Swift,Maruti,2016,12.765691290604371,166000,Diesel
365,Honda City ZX,Honda,2008,11.91170829631447,42000,Petrol
366,Mahindra Jeep CL550,Mahindra,2018,12.861001210669146,588,Diesel
367,Mahindra Jeep MM,Mahindra,2006,12.959846800844963,122,Diesel
368,Chevrolet Beat Diesel,Chevrolet,2017,11.918397239722838,62000,Diesel
369,Honda City 1.5,Honda,2010,12.323860125621126,70000,Petrol
370,Hyundai Verna 1.4,Hyundai,2014,12.834683971615659,36000,Petrol
